挨着;āi zhe;"next to; close to"
上当;shàngdàng;be fooled
上帝;shàng dì;God
上市;shàng shì;"appear on the market; listed"
上台;shàng tái;"appear on the stage; come into power"
上演;shàng yǎn;"perform; staged; put on the stage"
勺;sháo;spoon
少儿;shào ér;children
舌头;shétou;Tongue
设计师;shè jì shī;designer
涉及;shèjí;Involve
深化;shēn huà;"deepen; intensify"
深深;shēn shēn;"deeply; profoundly; deep"
审查;shěnchá;Examination
升级;shēng jí;"upgrade; be stepped up; escalate"
升学;shēng xué;enter a higher school
升值;shēng zhí;"appreciation; appreciate; increase in value"
生活费;shēng huó fèi;"living expenses; cost of living; alimony"
省钱;shěng qián;save money
圣诞节;shèng dàn jié;Christmas
盛行;shèngxíng;Prevalence
师父;shī fu;"master; a polite form of address to a monk or nun"
师生;shī shēng;teacher and student
时而;shí’ér;"from time to time; now … now …"
时节;shí jié;"season; time"
时期;shíqī;period
时时;shí shí;"often; constantly"
时装;shí zhuāng;"fashion; fashionable dress"
识;shí;"knowledge; know; remember"
识字;shí zì;"learn to read; literacy"
实践;shíjiàn;practice
食欲;shí yù;appetite
市民;shì mín;"citizen; city resident"
事后;shì hòu;"after the event; afterwards"
试点;shì diǎn;"pilot; launch a pilot project"
适当;shì dàng;"suitable; proper; appropriate"
收藏;shōucáng;Collection
收取;shōu qǔ;charge
收养;shōu yǎng;"adoption; adopt"
手续费;shǒu xù fèi;"handling fee; commission charges"
首（名）;shǒu;"head; leader; chief; aspect"
首次;shǒu cì;"for the first time; first"
首脑;shǒu nǎo;"head; leader; headman"
首席;shǒu xí;"chief; seat of honor"
首相;shǒu xiàng;prime minister
书房;shū fáng;study
薯片;shǔ piàn;"chips; crisps; potato chips"
薯条;shǔ tiáo;french fries
双打;shuāng dǎ;"doubles; pair game"
爽;shuǎng;"bright; clear; frank; straightforward; openhearted; feel well"
水泥;shuǐní;cement
税;shuì;tax
顺;shùn;"along; with; obey; yield to; listen to; incidentally; in passin"
说明书;shuō míng shū;"manual; synopsis"
说实话;shuō shí huà;"to be frank; tell the truth; to be honest"
司长;sī zhǎng;"director; department Chief"
死亡;sǐwáng;death
四处;sì chù;"around; all over the place; in all directions"
寺;sì;temple
送礼;sòng lǐ;"present; send gifts"
送行;sòng xíng;"see off; give a send-off party"
素质;sùzhì;quality
算了;suàn le;forget it
算是;suàn shì;"at last; be considered"
虽;suī;"though; although; even if"
岁数;suì shù;age
所（助）;suǒ;(auxiliary word)
踏实;tāshi;earnest, steady and sure
塔;tǎ;tower
踏;tà;"step on; stamp; tread; trample"
台灯;tái dēng;"desk lamp; table lamp; reading lamp"
太阳能;tài yáng néng;solar energy
叹气;tànqì;Sigh
探索;tànsuǒ;explore
探讨;tàntǎo;"discuss; probe into"
趟;tàng;Trip
掏;tāo;Dig
特;tè;"particular; special; exceptional; unusual; especially; very"
特大;tè dà;"especially big; most"
特地;tè dì;"for a special purpose; specially"
特快;tè kuài;express
特意;tèyì;specially
疼痛;téng tòng;"pain; ache; soreness"
踢;tī;kick
提交;tí jiāo;"submit; refer"
提升;tí shēng;"promote; hoist; elevate; promotion"
天然;tiān rán;natura
天堂;tiāntáng;heaven
天下;tiān xià;world
添;tiān;"add; increase; have a baby"
田;tián;"field; farm"
田径;tiánjìng;Athletics
跳水;tiào shuǐ;"dive; diving"
听取;tīng qǔ;"listen to; hear"
通报;tōng bào;"circulate a notice; circular; bulletin; journal"
通道;tōng dào;"access; aisle; passage; passageway"
通红;tōng hóng;"flush; very red"
通话;tōng huà;"call; converse; communicate by phone"
通行;tōng xíng;"go through; pass through; current; general"
通讯;tōngxùn;communication
同;tóng;"same; similar; alike; like; together"
同胞;tóngbāo;Compatriot
同行;tóng háng;"peer; of the same trade or occupation; person of the same occupation"
同期;tóng qī;"corresponding time period; the same period"
同一;tóng yī;"same; identical"
铜牌;tóng pái;"bronze medal; copper medal"
头疼;tóu téng;headache
投票;tóupiào;vote
透露;tòulù;disclose
图书;tú shū;books
徒弟;túdì;Apprentice
途径;tújìng;channel
土（形）;tǔ;"local; native; folk; indigenous; unfashionable"
团队;tuán duì;team
推出;tuī chū;"roll out; push-off"
退票;tuì piào;"refund; return a ticket"
吞;tūn;"swallow; gulp; annex; possess"
托;tuō;"support from under; set off; entrust; plead; rely"
拖;tuō;"pull; drag; draw; haul; trail; drag on"
拖鞋;tuō xié;slipper
挖;wā;"dig; excavate; scoop"
娃娃;wáwa;A doll
哇;wa;wow
外币;wài bì;foreign currency
外部;wài bù;"outside; external; exterior"
外出;wài chū;go out
外观;wài guān;"exterior; outward appearance; outward"
外科;wài kē;"surgery; surgical department"
外来;wài lái;"foreign; external; outside"
外头;wài tou;outside
外衣;wài yī;"coat; jacket; outer clothing; garb; overclothes; semblance"
外资;wài zī;foreign investment
弯曲;wān qū;"winding; meandering; zigzag; crook; curved; bending; bend"
顽皮;wán pí;"naughty; mischievous"
顽强;wánqiáng;Tenacious
王后;wáng hòu;queen
王子;wángzǐ;prince
网吧;wǎng bā;"internet cafe; internet bar"
网页;wǎng yè;web page
往后;wǎng hòu;"from now on; later; in the future; backward"
往来;wǎng lái;"back and forth; contact; dealing; intercourse"
往年;wǎng nián;"in previous years; in former years"
望见;wàng jiàn;"see; set eyes on"
危机;wēijī;crisis
威胁;wēixié;threaten
微波炉;wēi bō lú;microwave oven
维生素;wéishēngsù;Vitamin
为此;wèi cǐ;"to this end; for this reason; for this purpose"
为何;wèi hé;"why; for what reason"
文娱;wén yú;"cultural recreation; entertainment"
卧铺;wò pù;"sleeper; sleeping berth"
乌云;wū yún;"dark clouds; black clouds"
无边;wú biān;boundless
无关;wú guān;"have nothing to do; unrelated; irrelevant"
无效;wú xiào;"invalid; null; to no avail; in vain"
舞蹈;wǔdǎo;Dance
物品;wù pǐn;"article; goods; item"
误;wù;"mistake; error; miss; by mistake"
西班牙语;xī bān yá yǔ;Spanish language
吸毒;xī dú;"drug; drug addict"
牺牲;xīshēng;sacrifice
洗衣粉;xǐ yī fěn;washing powder
戏曲;xì qǔ;"drama; Chinese opera"
细胞;xìbāo;Cells
细菌;xìjūn;Bacteria
先锋;xiān fēng;"pioneer; vanguard"
嫌;xián;dislike and avoid
显出;xiǎn chū;"show; manifest"
险;xiǎn;"danger; risk; danger; dangerous; sinister; nearly"
线路;xiàn lù;"line; route; circuit"
陷入;xiànrù;fall into
响声;xiǎng shēng;"sound; noise"
想不到;xiǎng bú dào;unexpected
消耗;xiāohào;consume
消灭;xiāomiè;eliminate
小费;xiǎo fèi;tip
小麦;xiǎomài;Wheat
小于;xiǎo yú;less than
晓得;xiǎo dé;know
笑脸;xiào liǎn;"smiley; smiling face"
笑容;xiào róng;"smiling expression; smile"
笑声;xiào shēng;"laughter; laughing"
协会;xiéhuì;association
协商;xiéshāng;consult
协调;xiétiáo;coordinate
协助;xiézhù;assist
写字楼;xiě zì lóu;office building
写字台;xiě zì tái;"writing desk; desk"
心灵;xīnlíng;Heart
心愿;xīn yuàn;"wish; aspiration"
心脏;xīnzàng;heart
心脏病;xīn zàng bìng;heart disease
新人;xīn rén;"newcomer; new personality; new talent"
新兴;xīn xīng;"new; emerging; newly-developing"
薪水;xīnshui;salary
信仰;xìnyǎng;Faith
信用;xìn yòng;credit
兴旺;xīngwàng;Prosperous
行程;xíng chéng;"travel; itinerary"
形;xíng;"form; shape; body; entity; appear; look"
凶;xiōng;"fierce; ominous; terrible; murder"
凶手;xiōngshǒu;Murderer
修车;xiū chē;"car repair; car repairing"
袖珍;xiù zhēn;"pocket-size; pocket"
悬;xuán;"hang; suspend; feel anxious; outstanding; dangerous"
旋转;xuánzhuǎn;rotate
选拔;xuǎnbá;Selection
选举;xuǎnjǔ;Election
学会;xué huì;"learn; master; study"
学员;xué yuán;"student; trainee"
血管;xuè guǎn;"blood vessel; artery; vein"
血液;xuè yè;blood
循环;xúnhuán;loop
压迫;yāpò;Oppression
烟花;yān huā;fireworks
沿;yán;"along; follow"
沿海;yánhǎi;coastal
沿着;yán zhe;along
研发;yán fā;research and development
眼看;yǎn kàn;"see; soon; in a moment; watch helplessly"
演奏;yǎnzòu;Play
宴会;yànhuì;banquet
洋;yáng;"ocean; vast; multitudinous; foreign"
仰;yǎng;"look up; face upward"
养老;yǎng lǎo;"pension; provide for the aged"
氧气;yǎngqì;oxygen
样;yàng;"appearance; shape; sample; model; pattern; kind; type"
药品;yào pǐn;"drug; medicine; medicament"
要不然;yào bù rán;otherwise
要好;yào hǎo;"be close friends; try hard to make progress; better"
要么;yào me;"or; either … or …"
要素;yàosù;Essential factor
野;yě;"open space; field; wild; uncultivated; rude; rough; out of office"
野生;yě shēng;"wild; uncultivated; feral"
医药;yī yào;"medicine; curative"
依次;yī cì;"in proper order; successively"
依赖;yīlài;rely on
一次性;yí cì xìng;"disposable; single use"
一代;yí dài;generation
一道;yí dào;"together; a streak of"
一贯;yíguàn;consistent
一路上;yí lù shàng;"all the way; along the way"
仪器;yíqì;instrument
仪式;yíshì;Ceremony
遗憾;yíhàn;"regret; pity"
一番;yì fān;"some; one time"
一模一样;yì mú yí yàng;"exactly the same; as like as two peas"
一齐;yì qí;"all together; simultaneously; in unison"
一时;yì shí;"for a short while; temporary; momentary"
一同;yì tóng;"together; at the same time and place"
一行;yì xíng;"delegation; a group travelling together; party"
艺人;yì rén;"actor; artist; artisan; handicraftsman"
议题;yì tí;"issue; topic for discussion; issue under discussion"
异常;yìcháng;abnormal
意想不到;yì xiǎng bù dào;"unexpected; surprising; out of the blue; unpredicted"
意愿;yì yuàn;"wish; desire; aspiration; volitional"
因;yīn;"cause; reason; because"
因素;yīnsù;Factor
阴谋;yīnmóu;conspiracy
阴影;yīn yǐng;"shadow; shade"
音量;yīn liàng;"volume; sound volume"
音像;yīn xiàng;"audiovisual; audio-video"
隐藏;yǐn cáng;"hide; hiding; conceal; put out of sight"
隐私;yǐnsī;Privacy
印;yìn;"seal; stamp; mark; print; impress"
英雄;yīngxióng;Hero
迎来;yíng lái;"usher in; greet"
影迷;yǐng mí;"movie fan; film fan"
影星;yǐng xīng;movie star
应对;yìng duì;"reply; answer; respond; react"
应急;yìng jí;"meet an urgent need; meet an emergency; meet a contingency"
用处;yòng chù;"use; good; usefulness"
用得着;yòng de zháo;"useful; need"
用法;yòng fǎ;"usage; use"
用品;yòng pǐn;"supplies; appliance"
用心;yòng xīn;"attentively; intention; diligently"
优质;yōu zhì;"high quality; high grade"
游人;yóu rén;"visitor; tourist; sightseer"
游玩;yóu wán;"amuse; play; stroll; playing"
游戏机;yóu xì jī;"game console; game machine"
游行;yóu xíng;"parade; march; demonstration; procession"
有关;yǒu guān;"related; concerning; relate; concern"
有没有;yǒu méi yǒu;"do you have…?; Have you ever…? ; Is there any…?"
有事;yǒu shì;"engaged; occupied; busy; something"
于;yú;(preposition)
娱乐;yúlè;entertainment
愉快;yúkuài;Cheerful
与;yǔ;and
宇航员;yǔ háng yuán;"cosmonaut; astronaut"
雨衣;yǔ yī;raincoat
预约;yù yuē;"reservation; reserve; make an appointment"
元素;yuánsù;element
园;yuán;"garden; an area of land for growing plants; a place for public recreation"
园地;yuán dì;"garden; field"
原;yuán;"primary; original; former; raw; pardon; level"
原告;yuángào;accuser
原谅;yuánliàng;Forgive
圆珠笔;yuán zhū bǐ;ball point pen
援助;yuán zhù;"help; support; aid; back up"
缘故;yuángù;Reason
远方;yuǎn fāng;distance
远离;yuǎn lí;"away; aloof; removed"
远远;yuǎn yuǎn;far away
约定;yuē dìng;"appoint; arrange; promise; agreement"
乐曲;yuè qǔ;"music; musical composition"
晕;yūn;faint
允许;yǔnxǔ;allow
运作;yùn zuò;"operation; operate"
晕车;yùn chē;"carsickness; motion sickness"
杂;zá;"miscellaneous; varied; mixed; mix"
再生;zài shēng;"regeneration; regenerate; revive"
再说;zài shuō;"besides; put off until some time later; say"
遭到;zāo dào;"suffer; suffered; meet with"
遭受;zāoshòu;Suffer
遭遇;zāoyù;encounter
早晚;zǎo wǎn;"sooner or later; morning and evening; time; some day"
增进;zēng jìn;"enhance; promote"
增值;zēng zhí;"value-added; appreciation; increase in value"
扎;zhā;Tie
扎实;zhāshi;solid
炸;zhà;"explode; burst; bomb; flare up"
炸弹;zhà dàn;bomb
炸药;zhà yào;"explosive; dynamite"
债;zhài;"debt; loan; owing"
占据;zhànjù;Occupy
战场;zhàn chǎng;"battleground; battlefield"
战略;zhànlüè;strategy
战术;zhànshù;tactics
战友;zhàn yǒu;comrades in arms
站台;zhàn tái;"platform; railway platform"
章;zhāng;"chapter; section; order; regulation; seal"
长（秘书长）;zhǎng （mì shū zhǎng）;"chief; head; leader (secretary general)"
掌声;zhǎng shēng;applause
账;zhàng;"account; debt"
账户;zhànghù;account
涨;zhǎng;rise
障碍;zhàng’ài;obstacle
招;zhāo;"recruit; trick; attract; beckon"
招聘;zhāopìn;recruit
照样;zhàoyàng;"all the same; as before"
照耀;zhàoyào;Shine
哲学;zhéxué;Philosophy
这就是说;zhè jiù shì shuō;"this means that; that is to say"
镇;zhèn;"town; tranquil; suppress; press down; keep down"
争夺;zhēngduó;Fight for
整顿;zhěngdùn;rectify
整治;zhěng zhì;"rectify; renovate; fix"
正当;zhèngdāng;proper
政策;zhèngcè;policy
政党;zhèng dǎng;political party
政权;zhèngquán;regime
症状;zhèngzhuàng;Symptom
之类;zhī lèi;"such as; and so on"
支撑;zhīchēng;brace
支援;zhīyuán;support
枝;zhī;branch
知名;zhī míng;"famous; well-known"
织;zhī;"knit; weave"
直升机;zhí shēng jī;helicopter
职责;zhí zé;"duty; responsibility"
止;zhǐ;"stop; only; just; till; to"
只得;zhǐ dé;"have to; have no alternative but to; be obliged"
只顾;zhǐ gù;"merely; simply; only care for; be absorbed to"
只管;zhǐ guǎn;"by all means; not hesitate; merely; just"
指定;zhǐdìng;Appoint
指数;zhǐ shù;"index; exponent"
指头;zhǐ tou;"finger; toe"
指着;zhǐ zhe;"point; pointing"
至于;zhìyú;As for
治病;zhì bìng;"treat a disease; treat an illness"
智慧;zhìhuì;wisdom
中等;zhōng děng;"medium; moderate"
中华;zhōng huá;China
中期;zhōng qī;"mid-term; metaphase"
中外;zhōng wài;"at home and abroad; Chinese and foreign"
忠心;zhōng xīn;"loyalty; devotion; faithfulness"
钟头;zhōng tóu;hour
肿;zhǒng;"swollen; bloat; swelling"
种种;zhǒng zhǒng;"all sorts of; all kinds of; a variety of"
粥;zhōu;Porridge
珠宝;zhū bǎo;jewelry
诸位;zhūwèi;every one
主持人;zhǔ chí rén;"host; presenter"
主角;zhǔ jué;"lead; protagonist; leading actor"
主流;zhǔliú;Main stream
煮;zhǔ;cook
住宅;zhùzhái;residence
驻;zhù;"station; resident; stationed; located at"
柱子;zhù zi;"post; pillar"
祝愿;zhù yuàn;wish
专用;zhuān yòng;"special; dedicated"
转;zhuàn;turn
转动;zhuàn dòng;"turn; run; twirl; roll; revolve"
赚;zhuàn;earn
赚钱;zhuàn qián;make money
装备;zhuāngbèi;equipment
壮观;zhuàngguān;"grand; sublime"
追究;zhuījiū;Investigate
捉;zhuō;"clutch; grasp; hold; capture"
咨询;zīxún;Consultation
自来水;zì lái shuǐ;"tap water; running water"
自我;zì wǒ;"oneself; self"
自学;zì xué;self-study
自言自语;zì yán zì yǔ;"soliloquize; talk to oneself"
自在;zì zài;"free; comfortable; unrestrained"
宗教;zōngjiào;Religion
总部;zǒng bù;"headquarters; general headquarters"
总监;zǒng jiān;"director; chief inspector"
总经理;zǒng jīng lǐ;general manager
总量;zǒng liàng;"total; all quantity"
走私;zǒusī;smuggle
奏;zòu;"play; play music"
租金;zū jīn;"rent; rental"
足;zú;"foot; leg; sufficient; ample; enough; full; fully; as much as"
足以;zúyǐ;Enough
族;zú;"clan; race; nationality"
族（上班族）;zú （shàng bān zú）;"a class of things with common features or attribute (office worker; commuter)"
祖父;zǔfù;grandfather
祖国;zǔguó;Motherland
祖母;zǔ mǔ;grandmother
钻;zuàn;"diamond; jewel; drill"
最佳;zuì jiā;"optimal; the best; optimum"
最终;zuì zhōng;"final; ultimate"
罪;zuì;"sin; crime; guilt; fault; blame"
罪恶;zuì è;"sin; crime; evil"
作;zuò;"rise; compose; pretend; affect; feel; become; writing; work"
作废;zuòfèi;cancel, blank out
作战;zuò zhàn;"fight; war; do battle; combat"
座谈会;zuò tán huì;"foum; symposium; informal discussion"
